index,id,author,year,group,group_desc,complete,word_count,ref_count,PT_inc,OT_inc,ST_inc,pg_number,,hpd_STR,h_IS_NUM,hpd,dpw_STR,d_IS_NUM,dpw,duration_STR,dur_IS_NUM,duration,exp_dur,total_hrs_STR,tot_IS_NUM,total_hours,time_MAX,time_50,time_MIN,detailed_time,how_quantified,name,why,materials,procedure,who,how,where,how_much,tailor,modify,planned,actual,tidy_sum
56,hayner2010,hayner,2010,exp,CIMT,1,416,1,,,,4,,6,1.00,6.00,,0.00,,,0.00,,10,,0.00,,60,60,60,1,2,1,1,1,0,1,1,0,1,0,0,0,1,7
56,hayner2010,hayner,2010,exp,dosage matched bilateral therapy,1,347,1,,,,4,,6,1.00,6.00,,0.00,,,0.00,,10,,0.00,,60,60,60,1,2,1,1,0,0,1,1,0,1,0,0,0,1,6
57,hesse2005,hesse,2005,exp,robotic arm trainer,1,325,1,Y,Y,,3,,,0.00,,,0.00,,,0.00,,42,,0.00,,,,,1,4,1,1,1,1,0,1,0,1,0,0,0,1,7
57,hesse2005,hesse,2005,exp,electrical stimulation of wrist flexor/extensors,1,309,0,Y,Y,,3,,,0.00,,,0.00,,,0.00,,42,,0.00,,,,,1,4,1,1,1,1,0,1,0,1,0,0,0,1,7
58,hesse2011,hesse,2011,ctrl,continuous low intensity,1,71,1,,,,4,,,0.00,,,0.00,,,0.00,,365,,0.00,,65,65,65,1,2,1,1,0,0,1,1,0,1,0,0,1,1,7
58,hesse2011,hesse,2011,exp,intermittent high intensity,1,253,0,,,,4,,,0.00,,,0.00,,,0.00,,365,,0.00,,120,120,120,1,2,1,1,0,0,1,1,0,1,0,0,0,1,6
59,hidler2009,hidler,2009,exp,lokomat gait training,1,652,0,,,,4,,1.5,1.00,1.50,3,1.00,3.00,8-10W,0.00,,63,,0.00,,24,24,24,3,2,1,1,0,1,0,1,0,1,1,0,1,1,8
59,hidler2009,hidler,2009,ctrl,conventional gait training,1,143,0,,,,3,,1.5,1.00,1.50,3,1.00,3.00,8-10W,0.00,,63,,0.00,,24,24,24,3,2,1,1,0,0,1,1,0,1,1,0,1,1,8
60,hornby2008,hornby,2008,exp,robot assisted gait training,1,203,3,,,,3,,0.5,1.00,0.50,,0.00,,,0.00,,,6,1.00,6.00,6,6,6,3,2,1,1,0,0,0,1,0,1,0,0,0,1,5
60,hornby2008,hornby,2008,ctrl,"usual care, therapist assisted gait training",1,262,1,,,,3,,0.5,1.00,0.50,,0.00,,,0.00,,,6,1.00,6.00,6,6,6,3,2,1,1,0,0,0,1,0,1,0,0,0,1,5
61,housman2009,housman,2009,exp,T-WREX assisted UE therapy,1,407,0,,,,3,,1,1.00,1.00,3,1.00,3.00,8-9W,0.00,,63,24,1.00,24.00,24,24,24,2,2,1,1,1,1,1,1,0,1,1,0,0,1,9
61,housman2009,housman,2009,ctrl,conventional physical and occupational therapy,1,515,5,,,,4,,1,1.00,1.00,3,1.00,3.00,8-9W,0.00,,63,24,1.00,24.00,24,24,24,2,2,1,0,0,1,1,1,0,1,0,0,0,1,6
62,hsieh2011,hsieh,2011,ctrl,conventional physical and occupational therapy,1,154,1,,,,5,,1.5 to 1.75,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,30,30,30,1,2,1,0,0,0,1,1,0,1,0,0,0,1,5
62,hsieh2011,hsieh,2011,exp,low dose robot assisted therapy,1,323,4,,,,5,,1.5 to 1.75,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,30,30,30,4,4,1,1,1,0,1,1,0,1,0,0,0,1,7
62,hsieh2011,hsieh,2011,exp,high dose robot assisted therapy,1,407,1,,,,4,,1.5 to 1.75,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,30,30,30,4,4,1,1,1,0,1,1,0,1,0,0,0,1,7
63,hsieh2012,hsieh,2012,ctrl,conventional physical and occupational therapy,1,50,0,,,,4,,1.5 to 1.75,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,30,30,30,1,4,1,0,0,0,0,1,0,1,0,0,0,1,4
63,hsieh2012,hsieh,2012,exp,low dose robot assisted therapy,1,209,2,,,,3,,1.5 to 1.75,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,30,30,30,4,4,1,1,1,0,0,1,0,1,0,0,0,1,6
63,hsieh2012,hsieh,2012,exp,high dose robot assisted therapy,1,209,2,,,,3,,1.5 to 1.75,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,30,30,30,4,4,1,1,1,0,0,1,0,1,0,0,0,1,6
64,hui chan2009,hui chan,2009,ctrl,no treatment?,1,6,0,,,,2,,,0.00,,,0.00,,,0.00,,28,,0.00,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
64,hui chan2009,hui chan,2009,exp,transcutaneous electrical stim only,1,68,0,,,,2,,1,1.00,1.00,5,1.00,5.00,4,1.00,4.00,28,20,1.00,20.00,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,8
64,hui chan2009,hui chan,2009,exp,placebo stim + task specific training,1,57,0,,,,2,,1,1.00,1.00,5,1.00,5.00,4,1.00,4.00,28,20,1.00,20.00,20,20,20,1,1,1,1,0,1,1,1,0,1,0,0,1,1,8
64,hui chan2009,hui chan,2009,exp,STIM + task specific training,1,112,0,,,,2,,1,1.00,1.00,5,1.00,5.00,4,1.00,4.00,28,20,1.00,20.00,20,20,20,1,1,1,1,0,1,1,1,0,1,0,0,1,1,8
65,hunter2011,hunter,2011,ctrl,standard care,1,87,3,,,,4,,,0.00,,,0.00,,,0.00,,14,,0.00,,3.866666667,3.866666667,3.866666667,3,,1,0,0,0,1,1,0,0,0,0,0,1,4
65,hunter2011,hunter,2011,exp,SC + 30 min/day,1,528,4,,,,4,,,0.00,,,0.00,,,0.00,,14,,0.00,,5.395,5.395,5.395,3,2,1,1,0,1,1,1,1,1,1,0,0,1,9
65,hunter2011,hunter,2011,exp,SC + 60 min/day,1,528,4,,,,4,,,0.00,,,0.00,,,0.00,,14,,0.00,,8.701666667,8.701666667,8.701666667,3,2,1,1,0,1,1,1,1,1,1,0,0,1,9
65,hunter2011,hunter,2011,exp,SC + 120 min/day,1,528,4,,,,4,,,0.00,,,0.00,,,0.00,,14,,0.00,,15.36,15.36,15.36,3,2,1,1,0,1,1,1,1,1,1,0,0,1,9
66,huseman2007,huseman,2007,ctrl,conventional physiotherapy,1,129,0,Y,,,3,,1,1.00,1.00,,0.00,,4-5W,0.00,,28,,0.00,,20,20,20,1,2,1,0,0,0,0,1,0,1,1,0,0,1,5
66,huseman2007,huseman,2007,exp,lokomat gait training,1,231,3,Y,,,3,,1,1.00,1.00,,0.00,,4-5W,0.00,,28,,0.00,,20,20,20,1,2,1,1,1,1,0,1,0,1,0,0,0,1,7
67,in2012,in,2012,ctrl,convention physiotherapy + sham mirror box,1,334,0,,,,2,,,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,,,,,4,1,0,0,1,0,1,0,1,1,0,0,1,6
67,in2012,in,2012,exp,mirror box therapy + conventional PT,1,311,0,,,,2,,,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,,,,,4,1,1,0,1,0,1,0,1,1,0,0,1,7
68,indredavik1991,indredavik,1991,ctrl,treatment in a general medical ward,1,166,0,,,,3,,,0.00,,,0.00,,,0.00,,42,,0.00,,,,,,2,0,1,0,0,1,1,1,0,0,0,0,0,4
68,indredavik1991,indredavik,1991,exp,treatment in a specialized stroke unit,1,52,0,,,,3,,,0.00,,,0.00,,,0.00,,42,,0.00,,,,,,2,0,1,0,1,1,1,1,1,0,0,0,0,6
69,janssen2008,janssen,2008,ctrl,cycling exercise,1,370,0,,,,2,,,0.00,,2,1.00,2.00,6,1.00,6.00,42,,0.00,,6,6,6,3,2,1,1,1,1,1,1,0,1,1,0,0,1,9
69,janssen2008,janssen,2008,exp,electrical stimulation plus cycling,1,370,0,,,,2,,,0.00,,2,1.00,2.00,6,1.00,6.00,42,,0.00,,6,6,6,3,2,1,1,1,1,1,1,0,1,1,0,0,1,9
70,jin2012,jin,2012,exp,progressive cycling training with lower limb weights,1,170,2,,,,3,,0.67,1.00,0.67,5,1.00,5.00,8,1.00,8.00,56,26.8,1.00,26.80,46.8,46.8,46.8,1,2,1,1,0,0,0,1,0,1,1,0,0,1,6
70,jin2012,jin,2012,ctrl,low-intensity over ground walking,1,97,0,,,,3,,0.67,1.00,0.67,5,1.00,5.00,8,1.00,8.00,56,26.8,1.00,26.80,46.8,46.8,46.8,1,2,1,0,0,0,0,1,0,1,1,0,0,1,5
71,jin2013,jin,2013,exp,progressive cycling intervention,1,130,1,,,,3,,0.67,1.00,0.67,5,1.00,5.00,12,1.00,12.00,84,40.2,1.00,40.20,40.2,40.2,40.2,1,1,1,1,1,0,0,1,0,1,1,0,0,1,7
71,jin2013,jin,2013,ctrl,stretching with overground walking,1,62,0,,,,3,,0.67,1.00,0.67,5,1.00,5.00,12,1.00,12.00,84,40.2,1.00,40.20,4.8,4.8,4.8,1,1,1,0,0,0,0,1,0,1,0,0,0,1,4
72,johannsen2010,johannsen,2010,exp,bilateral arm training with auditory cuing,1,160,1,,,,4,,0.75,1.00,0.75,,0.00,,5,1.00,5.00,42,7.5,1.00,7.50,7.5,7.5,7.5,1,2,1,1,1,0,1,1,0,1,0,0,0,1,7
72,johannsen2010,johannsen,2010,exp,bilateral leg training with auditory cuing,1,317,1,,,,3,,0.75,1.00,0.75,,0.00,,5,1.00,5.00,42,7.5,1.00,7.50,7.5,7.5,7.5,1,2,1,1,1,0,1,1,0,1,0,0,0,1,7
73,jongbloed1989,jongbloed,1989,ctrl,traditional functional task practice,1,163,0,,,,6,,0.67,1.00,0.67,5,1.00,5.00,8,1.00,8.00,56,26.67,1.00,26.67,,,,,2,1,1,0,1,0,1,1,1,0,0,0,0,6
73,jongbloed1989,jongbloed,1989,exp,sensorimotor therapy,1,163,0,,,,6,,0.67,1.00,0.67,5,1.00,5.00,8,1.00,8.00,56,26.67,1.00,26.67,,,,,2,1,1,1,1,0,1,1,1,0,0,0,0,7
74,jonsdottir2010,jonsdottir,2010,exp,task oriented biofeedback with a progressive schedule,1,363,1,Y,,,3,,0.75,1.00,0.75,3,1.00,3.00,,0.00,,49,15,1.00,15.00,15.75,15.75,15.75,1,2,1,1,1,1,1,1,1,1,0,0,0,1,9
74,jonsdottir2010,jonsdottir,2010,ctrl,conventional physiotherapy,1,110,0,Y,,,4,,0.75,1.00,0.75,3,1.00,3.00,,0.00,,49,15,1.00,15.00,15.75,15.75,15.75,1,2,1,0,0,0,0,1,1,1,0,0,0,1,5
75,jung2012,jung,2012,ctrl,treadmill training,1,37,0,,,,2,,0.5,1.00,0.50,5,1.00,5.00,3,1.00,3.00,21,7.5,1.00,7.50,7.5,7.5,7.5,1,2,1,1,0,0,1,1,0,1,0,0,0,0,5
75,jung2012,jung,2012,ctrl,VR treadmill training,1,146,0,,,,2,,0.5,1.00,0.50,5,1.00,5.00,3,1.00,3.00,21,7.5,1.00,7.50,7.5,7.5,7.5,1,2,1,1,1,0,0,1,0,1,1,0,0,0,6
76,kahn2006,kahn,2006,ctrl,dosage matched unassisted reaching,1,149,0,,,,5,,0.75,1.00,0.75,,0.00,,8,1.00,8.00,56,18,1.00,18.00,18,18,18,4,4,1,0,0,1,0,1,0,1,0,0,0,0,4
76,kahn2006,kahn,2006,exp,robot assisted reaching,1,662,8,,,,4,,0.75,1.00,0.75,,0.00,,8,1.00,8.00,56,18,1.00,18.00,18,18,18,4,4,1,1,1,1,0,1,0,1,1,0,0,0,7
77,kang2012,kang,2012,ctrl,CPT + stretching,1,134,0,Y,,,4,,,0.00,,,0.00,,,0.00,,28,,0.00,,,,,,2,1,0,0,0,1,1,0,1,0,0,0,1,5
77,kang2012,kang,2012,exp,CPT + treadmill training,1,126,0,Y,,,4,,0.5,1.00,0.50,3,1.00,3.00,4,1.00,4.00,28,6,1.00,6.00,,,,,2,1,1,1,0,1,1,0,1,1,0,0,1,8
77,kang2012,kang,2012,exp,CPT + treadmill training with optic flow information,1,299,2,Y,,,3,,0.5,1.00,0.50,3,1.00,3.00,4,1.00,4.00,28,6,1.00,6.00,,,,,2,1,1,1,0,1,1,0,1,1,0,0,1,8
78,katz leurer2006,katz leurer,2006,ctrl,CPT,1,39,0,,,,4,,,0.00,,,0.00,,5,1.00,5.00,21,,0.00,,,,,,2,1,0,0,0,0,1,0,0,0,0,0,1,3
78,katz leurer2006,katz leurer,2006,exp,CPT + cycling ergometry,1,215,0,,,,3,,,0.00,,,0.00,,5,1.00,5.00,21,3,1.00,3.00,,,,,2,1,1,1,0,1,1,0,1,1,0,0,1,8
79,khan2011,khan,2011,ctrl,conventional physical and occupational therapy,1,178,0,Y,Y,,3,,,0.00,,,0.00,,,0.00,,34.2,,0.00,,,,,1,2,1,1,0,0,0,1,0,1,0,0,0,1,5
79,khan2011,khan,2011,exp,modified CIMT,1,216,0,Y,Y,,3,,,0.00,,,0.00,,,0.00,,32.5,,0.00,,,,,1,2,1,1,0,0,0,1,0,1,0,0,0,1,5
79,khan2011,khan,2011,exp,therapeutic climbing exercises,1,98,0,Y,Y,,3,,,0.00,,,0.00,,,0.00,,30.1,,0.00,,,,,1,2,1,1,0,0,0,1,0,1,0,0,0,1,5
80,kihoon2012,kihoon,2012,ctrl,CPT,1,147,0,,,,2,,0.5,1.00,0.50,3,1.00,3.00,4,1.00,4.00,28,6,1.00,6.00,6,6,6,1,2,0,0,0,0,0,1,0,1,0,0,0,1,3
80,kihoon2012,kihoon,2012,exp,VR training using the IREX system,1,255,0,,,,2,,1,1.00,1.00,5,1.00,5.00,4,1.00,4.00,28,20,1.00,20.00,26,26,26,1,2,1,1,1,0,0,1,0,,0,0,0,1,5
81,kim2009,kim,2009,ctrl,CPT,1,225,1,Y,,,4,,0.67,1.00,0.67,4,1.00,4.00,4,1.00,4.00,28,10.72,1.00,10.72,10.72,10.72,10.72,1,2,1,1,0,0,0,1,0,1,1,0,0,1,6
81,kim2009,kim,2009,exp,CPT + locomotor VR training,1,541,46,Y,,,4,,1.17,1.00,1.17,4,1.00,4.00,4,1.00,4.00,28,18.72,1.00,18.72,18.7,18.7,18.7,1,2,1,1,1,0,0,1,0,1,1,0,0,1,7
82,kim2012,kim,2012,ctrl,no treatment?,1,24,0,,,,2,,0.75,1.00,0.75,3,1.00,3.00,3,1.00,3.00,21,6.75,1.00,6.75,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2
82,kim2012,kim,2012,exp,therapy games using nintendo wii,1,334,0,,,,2,,1.25,1.00,1.25,3,1.00,3.00,3,1.00,3.00,21,11.25,1.00,11.25,4.5,4.5,4.5,1,2,0,1,1,1,0,1,0,1,0,0,0,1,6
83,kiper2011,kiper,2011,ctrl,CPT + CPT,1,121,1,,,,3,,2,1.00,2.00,5,1.00,5.00,4,1.00,4.00,28,40,1.00,40.00,40,40,40,1,2,1,0,0,0,0,0,0,1,1,0,0,1,4
83,kiper2011,kiper,2011,exp,CPT + reinforcing feedback in a VE,1,179,1,,,,3,,2,1.00,2.00,5,1.00,5.00,4,1.00,4.00,28,40,1.00,40.00,40,40,40,1,2,1,1,1,0,1,1,0,1,1,0,0,1,8
84,kuys2011,kuys,2011,ctrl,conventional therapy,1,56,0,,,,5,,,0.00,,,0.00,,,0.00,,42,,0.00,,30,30,30,2,,1,0,0,0,1,1,0,0,0,0,0,1,4
84,kuys2011,kuys,2011,exp,CPT + HI treadmill,1,241,4,,,,5,,0.5,1.00,0.50,3,1.00,3.00,6,1.00,6.00,42,9,1.00,9.00,36.3,36.3,36.3,2,2,1,1,1,0,1,1,0,1,1,0,0,1,8
85,kwakkel/kwakkel1999/2002,kwakkel/kwakkel,1999/2002,ctrl,conventional therapy,1,389,0,,,,2,,0.5,1.00,0.50,5,1.00,5.00,20,1.00,20.00,140,50,1.00,50.00,73.5,73.5,73.5,2,2,0,1,0,0,1,1,0,1,0,0,1,1,6
85,kwakkel/kwakkel1999/2002,kwakkel/kwakkel,1999/2002,exp,arm intensive therapy + CPT,1,379,0,,,,2,,0.5,1.00,0.50,5,1.00,5.00,20,1.00,20.00,140,50,1.00,50.00,114.5,114.5,114.5,2,2,0,1,0,0,1,1,0,1,0,0,1,1,6
85,kwakkel/kwakkel1999/2002,kwakkel/kwakkel,1999/2002,exp,leg intensive therapy + CPT,1,379,0,,,,2,,0.5,1.00,0.50,5,1.00,5.00,20,1.00,20.00,140,50,1.00,50.00,117.17,117.17,117.17,2,2,0,1,0,0,1,1,0,1,0,0,1,1,6
86,kwon2012,kwon,2012,ctrl,CPT,1,40,0,,,,3,,1.17,1.00,1.17,5,1.00,5.00,4,1.00,4.00,28,23.4,1.00,23.40,23.3,23.3,23.3,1,2,0,0,0,0,1,1,0,1,0,0,0,0,3
86,kwon2012,kwon,2012,exp,CPT + VR training,1,155,1,,,,2,,1.67,1.00,1.67,5,1.00,5.00,4,1.00,4.00,28,33.4,1.00,33.40,33.3,33.3,33.3,1,2,0,1,1,1,1,1,0,1,0,0,0,0,6
87,langhammer2007,langhammer,2007,ctrl,regular exercise therapy,1,202,0,Y,,,3,,1,1.00,1.00,,0.00,,,0.00,,22,80,1.00,80.00,,,,1,2,0,0,0,0,1,1,0,1,0,0,1,1,5
87,langhammer2007,langhammer,2007,exp,intersive exercise therapy,1,408,0,Y,,,3,,1,1.00,1.00,,0.00,,,0.00,,16,80,1.00,80.00,,,,1,2,0,1,0,1,1,1,0,1,0,0,1,1,7
88,langhammer2010,langhammer,2010,ctrl,treadmill therapy + CPT,1,320,0,,,,4,,3,1.00,3.00,5,1.00,5.00,,0.00,,15.9,,0.00,,35.85,35.85,35.85,3,2,1,0,0,0,1,1,0,1,0,0,0,1,5
88,langhammer2010,langhammer,2010,exp,outdoor walking,1,208,0,,,,4,,3,1.00,3.00,5,1.00,5.00,,0.00,,16.9,,0.00,,41.5,41.5,41.5,3,2,1,0,1,0,0,1,0,1,1,0,0,1,6
89,langhammer2000,langhammer,2000,exp,motor relearning programme,1,332,3,,Y,Y,3,,0.67,1.00,0.67,5,1.00,5.00,,0.00,,21,,0.00,,,,,,2,1,1,0,0,1,1,0,1,0,0,1,1,7
89,langhammer2000,langhammer,2000,exp,bobath therapy programme,1,332,3,,Y,Y,3,,0.67,1.00,0.67,5,1.00,5.00,,0.00,,34,,0.00,,,,,,2,1,1,0,0,1,1,0,1,0,0,1,1,7
90,lau2011,lau,2011,ctrl,gait training on the treadmill at steady speed,1,116,0,,,,2,,2,1.00,2.00,,0.00,,,0.00,,14,20,1.00,20.00,20,20,20,1,2,1,0,0,0,1,1,0,1,0,0,0,1,5
90,lau2011,lau,2011,exp,progressive increases in treadmill speed within a session,1,199,0,,,,2,,2,1.00,2.00,,0.00,,,0.00,,14,20,1.00,20.00,20,20,20,1,2,1,1,0,0,1,1,0,1,1,0,0,1,7
91,laufer2001,laufer,2001,ctrl,CPT with overground walking,1,98,1,,Y,Y,3,,,0.00,,,0.00,,,0.00,,21,,0.00,,,,,,2,1,0,0,0,0,0,1,0,0,0,0,1,3
91,laufer2001,laufer,2001,exp,CPT with treadmill training,1,226,1,,Y,Y,3,,,0.00,,5,1.00,5.00,3,1.00,3.00,21,,0.00,,,,,,2,1,1,1,0,0,1,0,1,0,0,0,1,6
92,laver2012,laver,2012,ctrl,CPT,1,141,0,,,,2,,0.42,1.00,0.42,5,1.00,5.00,,0.00,,14.95,,0.00,,4.2,4.2,4.2,1,2,1,1,0,0,1,1,1,1,0,0,1,1,8
92,laver2012,laver,2012,exp,balance training using Wii fit,1,227,0,,,,2,,0.42,1.00,0.42,5,1.00,5.00,,0.00,,12.3,,0.00,,4.2,4.2,4.2,1,2,1,1,0,0,1,1,1,1,0,0,1,1,8
93,lee2008,lee,2008,ctrl,sham cycling + sham PRT,1,363,2,,,,2,,1,1.00,1.00,3,1.00,3.00,10-12W,0.00,,77,,0.00,,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,0,1,7
93,lee2008,lee,2008,exp,cycling + sham progressive resistence training,1,363,2,,,,3,,1,1.00,1.00,3,1.00,3.00,10-12W,0.00,,77,,0.00,,15,15,15,1,2,1,1,1,1,0,1,0,1,1,0,0,1,8
93,lee2008,lee,2008,exp,sham cycling + progressive resistance training,1,362,2,,,,3,,1,1.00,1.00,3,1.00,3.00,10-12W,0.00,,77,,0.00,,15,15,15,1,2,1,1,1,1,0,1,0,1,1,0,0,1,8
93,lee2008,lee,2008,exp,cycling + progressive resistence training,1,359,2,,,,2,,1,1.00,1.00,3,1.00,3.00,10-12W,0.00,,77,,0.00,,30,30,30,1,2,1,1,1,1,0,1,0,1,1,0,0,1,8
94,lee2012,lee,2012,ctrl,standard care,1,297,1,,Y,,4,,1.75,1.00,1.75,5,1.00,5.00,4,1.00,4.00,28,35,1.00,35.00,20,20,20,1,2,1,0,0,1,0,0,0,1,0,0,0,1,4
94,lee2012,lee,2012,exp,standard care + mirror box training,1,624,2,,Y,,3,,2.17,1.00,2.17,5,1.00,5.00,4,1.00,4.00,28,43.33,1.00,43.33,28.4,28.4,28.4,1,4,1,1,1,1,0,1,0,1,0,0,1,1,8
95,lin2007,lin,2007,ctrl,standard care,1,54,0,,,,5,,2,1.00,2.00,5,1.00,5.00,3,1.00,3.00,21,30,1.00,30.00,30,30,30,1,2,1,0,0,0,1,1,0,1,0,0,0,1,5
95,lin2007,lin,2007,exp,mCIMT,1,176,0,,,,4,,2,1.00,2.00,5,1.00,5.00,3,1.00,3.00,21,30,1.00,30.00,105,75,30,1,2,1,1,0,0,11,0,1,1,0,0,1,1,17
96,lin2010,lin,2010,ctrl,standard OT,1,97,0,,,,4,,2,1.00,2.00,5,1.00,5.00,3,1.00,3.00,21,30,1.00,30.00,30,30,30,1,2,1,0,0,0,1,0,0,1,0,0,0,1,4
96,lin2010,lin,2010,exp,bilateral symmetric movements,1,135,0,,,,4,,2,1.00,2.00,5,1.00,5.00,3,1.00,3.00,21,30,1.00,30.00,30,30,30,1,2,1,1,0,1,1,1,0,1,0,0,0,1,7
97,lincoln1999,lincoln,1999,ctrl,standard PT,1,92,0,,,,3,,,0.00,,5,1.00,5.00,,0.00,,35,,0.00,,37.5,37.5,37.5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,2
97,lincoln1999,lincoln,1999,exp,intensive PT provided by an expert,1,211,0,,,,3,,,0.00,,5,1.00,5.00,,0.00,,35,,0.00,,47.5,47.5,47.5,1,2,1,1,0,0,1,1,0,1,0,0,0,0,5
97,lincoln1999,lincoln,1999,exp,intensive PT provided by an assistant,1,290,2,,,,3,,,0.00,,5,1.00,5.00,,0.00,,35,,0.00,,47.5,47.5,47.5,1,2,1,1,0,0,1,1,0,1,0,0,0,0,5
98,lo2010,lo,2010,ctrl,usual care,1,63,0,,,,3,,1,1.00,1.00,,0.00,,12,1.00,12.00,84,36,1.00,36.00,,,,,2,1,0,0,0,0,0,0,1,0,0,0,1,3
98,lo2010,lo,2010,exp,intensive Robot assisted therapy,1,201,0,,,,2,,1,1.00,1.00,,0.00,,12,1.00,12.00,84,36,1.00,36.00,33,33,33,4,2,1,1,0,1,0,1,0,1,0,0,0,1,6
98,lo2010,lo,2010,exp,intensive usual care,1,59,2,,,,2,,1,1.00,1.00,,0.00,,12,1.00,12.00,84,36,1.00,36.00,32,32,32,4,2,1,0,0,0,0,1,0,1,0,0,0,1,4
99,logan1997,logan,1997,ctrl,conventional OT,1,48,0,,Y,,3,,,0.00,,,0.00,,,0.00,,90,,0.00,,,,,,,1,0,0,0,1,1,0,0,0,0,0,1,4
99,logan1997,logan,1997,exp,enhanced OT,1,135,0,,Y,,3,,,0.00,,,0.00,,,0.00,,90,,0.00,,,,,,,1,1,0,0,1,1,0,0,0,0,0,1,5
100,luft2008,luft,2008,ctrl,stretching,1,80,1,,,,3,,0.67,1.00,0.67,3,1.00,3.00,,0.00,,168,,0.00,,0,0,0,1,4,1,1,0,0,0,1,0,1,0,0,0,1,5
100,luft2008,luft,2008,exp,progressive BWS treadmill training,1,68,0,,,,3,,0.67,1.00,0.67,3,1.00,3.00,,0.00,,168,,0.00,,48.24,48.24,48.24,1,2,1,1,0,0,0,1,0,1,1,0,0,1,6
101,lum2002,lum,2002,ctrl,conventional neurodevelopmental therapy,1,315,1,,,,3,,1,1.00,1.00,,0.00,,,0.00,,56,24,1.00,24.00,24,24,24,1,2,1,0,0,0,1,1,0,1,1,0,0,1,6
101,lum2002,lum,2002,exp,robot assisted therapy,1,352,1,,,,3,,1,1.00,1.00,3,1.00,3.00,,0.00,,56,24,1.00,24.00,24,24,24,1,2,1,1,0,1,1,1,0,1,1,0,0,1,8
102,macko2005,macko,2005,ctrl,stretching and low intensity aerobic exercise,1,58,1,,,,3,,,0.00,,3,1.00,3.00,,0.00,,180,48,1.00,48.00,5.76,5.76,5.76,1,,1,0,0,0,0,0,1,1,0,0,0,1,4
102,macko2005,macko,2005,exp,treadmill based aerobic training,1,56,2,,,,3,,,0.00,,3,1.00,3.00,,0.00,,180,48,1.00,48.00,48.24,48.24,48.24,1,,1,1,0,0,0,0,1,1,1,0,0,1,6
103,masiero2007,masiero,2007,ctrl,CPT + robot training for the unaffected limb,1,533,0,,Y,,4,,,0.00,,5,1.00,5.00,,0.00,,150,20,1.00,20.00,,,,,2,1,0,0,0,0,1,1,1,0,0,0,0,4
103,masiero2007,masiero,2007,exp,CPT + robot assisted therapy,1,533,0,,Y,,4,,,0.00,,5,1.00,5.00,,0.00,,150,20,1.00,20.00,,,,,2,1,1,1,0,1,1,1,1,0,0,0,0,7
104,masiero2014,masiero,2014,ctrl,standard therapy for the upper limb,1,162,0,,,,2,,2,1.00,2.00,5,1.00,5.00,5,1.00,5.00,35,50,1.00,50.00,50,50,50,1,2,1,0,0,0,0,1,0,1,0,0,0,1,4
104,masiero2014,masiero,2014,exp,standard therapy mixed with robot assisted therapy,1,369,3,,,,3,,2,1.00,2.00,5,1.00,5.00,5,1.00,5.00,35,50,1.00,50.00,50,50,50,1,2,1,1,1,0,1,1,0,1,0,0,0,1,7
105,mcclellan2004,mcclellan,2004,ctrl,"upper body exercises serving as ""sham"" mobility training",1,257,1,,,,2,,,0.00,,,0.00,,6,1.00,6.00,42,,0.00,,0,0,0,1,,0,1,0,0,0,1,0,0,1,0,1,1,5
105,mcclellan2004,mcclellan,2004,exp,home-based mobility exercise,1,268,2,,,,2,,,0.00,,,0.00,,6,1.00,6.00,42,,0.00,,,,,,,0,1,0,0,0,1,0,0,1,0,1,1,5
106,michielsen2011,michielsen,2011,ctrl,homebased upper extermity therapy,1,161,0,,,,2,,1,1.00,1.00,5,1.00,5.00,6,1.00,6.00,42,30,1.00,30.00,36,36,36,1,2,0,0,0,0,1,1,1,1,0,0,1,1,6
106,michielsen2011,michielsen,2011,exp,homebased mirror therapy,1,207,0,,,,2,,1,1.00,1.00,5,1.00,5.00,6,1.00,6.00,42,30,1.00,30.00,36,36,36,1,2,1,1,0,0,1,1,1,1,0,0,1,1,8
107,mirelman2009,mirelman,2009,exp,robot assisted therapy,1,196,5,,,,3,,1,1.00,1.00,3,1.00,3.00,4,1.00,4.00,28,12,1.00,12.00,7.5,7.5,7.5,4,2,1,0,0,0,1,1,0,1,0,0,0,1,5
107,mirelman2009,mirelman,2009,exp,robot assisted therapy + VR interface,1,335,5,,,,3,,1,1.00,1.00,3,1.00,3.00,4,1.00,4.00,28,12,1.00,12.00,8.2,8.2,8.2,4,2,1,1,0,1,1,1,0,1,0,0,0,1,7
108,moore2010,moore,2010,ctrl,CPT up to the crossover point,1,68,0,Y,,,3,,,0.00,,2 to 5 ,0.00,,4,1.00,4.00,28,,0.00,,,,,4,2,1,1,0,0,0,1,0,1,0,0,0,1,5
